Crm Cd,Crm Cd Desc
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
932,PEEPING TOM
900,VIOLATION OF COURT ORDER
439,FALSE POLICE REPORT
954,CONTRIBUTING
434,FALSE IMPRISONMENT
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
220,ATTEMPTED ROBBERY
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
922,CHILD STEALING
760,LEWD/LASCIVIOUS ACTS WITH CHILD
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
850,INDECENT EXPOSURE
237,CHILD NEGLECT (SEE 300 W.I.C.)
763,STALKING
345,DISHONEST EMPLOYEE - GRAND THEFT
888,TRESPASSING
320,"BURGLARY, ATTEMPTED"
122,"RAPE, ATTEMPTED"
753,DISCHARGE FIREARMS/SHOTS FIRED
805,PIMPING
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
520,VEHICLE - ATTEMPT STOLEN
806,PANDERING
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
437,RESISTING ARREST
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
350,"THEFT, PERSON"
623,BATTERY POLICE (SIMPLE)
522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
450,THEFT FROM PERSON - ATTEMPT
890,FAILURE TO YIELD
755,BOMB SCARE
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
664,"BUNCO, PETTY THEFT"
251,SHOTS FIRED AT INHABITED DWELLING
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
920,KIDNAPPING - GRAND ATTEMPT
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
647,THROWING OBJECT AT MOVING VEHICLE
651,DOCUMENT WORTHLESS ($200.01 & OVER)
910,KIDNAPPING
110,CRIMINAL HOMICIDE
351,PURSE SNATCHING
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
444,DISHONEST EMPLOYEE - PETTY THEFT
814,CHILD PORNOGRAPHY
756,WEAPONS POSSESSION/BOMBING
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
435,LYNCHING
438,RECKLESS DRIVING
443,SHOPLIFTING - ATTEMPT
660,COUNTERFEIT
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
622,BATTERY ON A FIREFIGHTER
943,CRUELTY TO ANIMALS
487,BOAT - STOLEN
949,ILLEGAL DUMPING
933,PROWLER
865,"DRUGS, TO A MINOR"
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
652,DOCUMENT WORTHLESS ($200 & UNDER)
113,"MANSLAUGHTER, NEGLIGENT"
446,PETTY THEFT - AUTO REPAIR
475,"THEFT, COIN MACHINE - ATTEMPT"
471,TILL TAP - PETTY ($950 & UNDER)
451,PURSE SNATCHING - ATTEMPT
436,LYNCHING - ATTEMPTED
485,BIKE - ATTEMPTED STOLEN
349,GRAND THEFT / AUTO REPAIR
944,CONSPIRACY
942,BRIBERY
347,GRAND THEFT / INSURANCE FRAUD
353,DRUNK ROLL
870,CHILD ABANDONMENT
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
880,DISRUPT SCHOOL
452,"PICKPOCKET, ATTEMPT"
924,TELEPHONE PROPERTY - DAMAGE
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
948,BIGAMY
884,FAILURE TO DISPERSE
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
432,BLOCKING DOOR INDUCTION CENTER
882,INCITING A RIOT
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
926,TRAIN WRECKING
